Day,Restaurant,Product_Category,Expected_Usage,Quantity_Sold,Percentage_Required,Received_Order_Volume,Inventory_Gap
1,1,Bakery,43.74,465,0.09714285714285713,50.0,6.259999999999998
1,1,Beverages,163.48000000000002,465,0.32285714285714284,178.0,14.519999999999982
1,1,Dairy,74.84,465,0.1657142857142857,87.0,12.159999999999997
1,1,Meat,42.74,465,0.09428571428571429,52.0,9.259999999999998
1,1,Vegetables,140.2,465,0.32,167.0,26.80000000000001
1,2,Bakery,37.64,326,0.09714285714285713,41.0,3.3599999999999994
1,2,Beverages,92.7,326,0.32285714285714284,109.0,16.299999999999997
1,2,Dairy,54.05,326,0.1657142857142857,63.0,8.950000000000003
1,2,Meat,35.96,326,0.09428571428571429,43.0,7.039999999999999
1,2,Vegetables,105.65,326,0.32,125.0,19.349999999999994
1,3,Bakery,47.2,444,0.09714285714285713,58.0,10.799999999999997
1,3,Beverages,148.5,444,0.32285714285714284,168.0,19.5
1,3,Dairy,75.53999999999999,444,0.1657142857142857,89.0,13.460000000000008
1,3,Meat,43.519999999999996,444,0.09428571428571429,51.0,7.480000000000004
1,3,Vegetables,129.24,444,0.32,149.0,19.75999999999999
1,4,Bakery,43.5,433,0.09714285714285713,54.0,10.5
1,4,Beverages,140.94,433,0.32285714285714284,164.0,23.060000000000002
1,4,Dairy,73.97,433,0.1657142857142857,90.0,16.03
1,4,Meat,43.08,433,0.09428571428571429,50.0,6.920000000000002
1,4,Vegetables,131.51,433,0.32,156.0,24.49000000000001
1,5,Bakery,35.5,428,0.09714285714285713,46.0,10.5
1,5,Beverages,155.48,428,0.32285714285714284,179.0,23.52000000000001
1,5,Dairy,71.54,428,0.1657142857142857,83.0,11.459999999999994
1,5,Meat,38.18,428,0.09428571428571429,48.0,9.82
1,5,Vegetables,127.30000000000001,428,0.32,151.0,23.69999999999999
1,6,Bakery,38.74,389,0.09714285714285713,47.0,8.259999999999998
1,6,Beverages,128.16,389,0.32285714285714284,154.0,25.840000000000003
1,6,Dairy,60.010000000000005,389,0.1657142857142857,72.0,11.989999999999995
1,6,Meat,38.46,389,0.09428571428571429,46.0,7.539999999999999
1,6,Vegetables,123.63,389,0.32,148.0,24.370000000000005
1,7,Bakery,44.18000000000001,426,0.09714285714285713,53.0,8.819999999999993
